geoid,Zipcode,Total,"B09021001, Error",Lives alone,"B09021002, Error",Householder living with spouse or spouse of householder,"B09021003, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021004, Error",Child of householder,"B09021005, Error",Other relatives,"B09021006, Error",Other nonrelatives,"B09021007, Error",18 to 34 years:,"B09021008, Error",Lives alone,"B09021009, Error",Householder living with spouse or spouse of householder,"B09021010, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021011, Error",Child of householder,"B09021012, Error",Other relatives,"B09021013, Error",Other nonrelatives,"B09021014, Error",35 to 64 years:,"B09021015, Error",Lives alone,"B09021016, Error",Householder living with spouse or spouse of householder,"B09021017, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021018, Error",Child of householder,"B09021019, Error",Other relatives,"B09021020, Error",Other nonrelatives,"B09021021, Error",65 years and over:,"B09021022, Error",Lives alone,"B09021023, Error",Householder living with spouse or spouse of householder,"B09021024, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021025, Error",Child of householder,"B09021026, Error",Other relatives,"B09021027, Error",Other nonrelatives,"B09021028, Error"
06000US3604710022,"Brooklyn borough, Kings County, NY",2049635,1837,288737,3751,743459,7989,127366,3926,291726,4578,404884,5513,193463,4893,686284,1166,51352,1461,121737,3622,61154,2691,228868,3584,100549,2791,122624,3712,991338,1096,132854,3058,474349,5624,59275,2959,61363,2396,205628,4097,57869,2797,372013,600,104531,2204,147373,3369,6937,727,1495,368,98707,2610,12970,1158
86000US07002,7002,54196,906,8157,832,23770,1084,2543,533,7490,753,9911,938,2325,572,15402,898,1092,296,3898,580,1102,372,6326,723,2116,403,868,275,28710,878,3867,569,15455,973,1314,374,1164,298,5725,730,1185,440,10084,770,3198,545,4417,618,127,73,0,31,2070,331,272,156
86000US07305,7305,53225,1791,7248,755,18997,1622,3247,844,8626,923,12269,1375,2838,666,17113,1054,705,276,3698,755,1163,435,7012,829,3217,604,1318,496,26382,1236,3478,524,12186,1277,1836,691,1598,408,5916,773,1368,392,9730,823,3065,540,3113,601,248,126,16,25,3136,549,152,114
86000US11101,11101,27405,1402,6451,749,10152,1089,2697,543,1617,453,3384,541,3104,610,11862,858,2127,483,3330,544,1870,368,1338,391,1003,267,2194,433,13020,1124,3310,577,5806,786,766,318,279,141,1970,381,889,352,2523,423,1014,256,1016,372,61,95,0,27,411,172,21,21
86000US11201,11201,52600,1708,11693,845,22795,1370,6973,741,2394,401,4719,664,4026,684,18784,997,3358,487,5146,678,3926,491,2040,369,1192,318,3122,537,26313,1345,5272,591,14430,1161,2796,525,354,120,2628,454,833,426,7503,616,3063,471,3219,466,251,121,0,30,899,239,71,61
86000US11203,11203,62279,2066,8376,590,18095,1065,2343,535,12599,999,17988,1204,2878,513,17409,1134,1106,375,1477,413,644,290,8519,779,4585,589,1078,296,30790,1279,3908,505,10978,801,1416,365,4033,603,9132,774,1323,311,14080,840,3362,327,5640,583,283,110,47,34,4271,503,477,195
86000US11204,11204,58341,2185,4325,368,28570,1358,2094,616,8391,697,11922,1165,3039,686,17493,1174,428,122,5499,703,503,165,7147,670,2903,460,1013,281,29552,1454,1535,211,17812,991,1532,569,1233,297,5711,788,1729,601,11296,967,2362,290,5259,772,59,62,11,12,3308,478,297,108
86000US11205,11205,33189,1479,5387,591,11213,1021,3658,615,4213,579,4369,582,4349,986,14021,1090,1253,247,2837,543,2184,445,3318,527,1093,320,3336,824,15219,806,2560,401,7522,819,1402,395,867,307,2213,363,655,234,3949,644,1574,415,854,255,72,71,28,34,1063,268,358,310
86000US11206,11206,64320,2136,8129,784,17572,1289,4653,796,9708,855,13619,1457,10639,1327,29472,1628,1878,290,4787,804,2617,600,7761,828,3714,780,8715,1311,26349,1430,3890,587,9649,935,1891,582,1921,414,7236,846,1762,502,8499,782,2361,461,3136,752,145,119,26,39,2669,504,162,180
86000US11207,11207,71604,2991,11536,949,17491,1412,3338,598,13548,1059,18803,1510,6888,925,24386,1532,1823,373,2161,454,1290,381,10262,1003,5083,699,3767,684,35157,1878,6049,615,11660,1069,1839,459,3056,468,9966,990,2587,477,12061,984,3664,525,3670,695,209,124,230,228,3754,483,534,178
86000US11208,11208,77584,2782,8378,776,23886,1401,2588,654,16505,1533,21055,1744,5172,1054,26124,1494,903,236,3955,590,488,271,12637,1369,5808,767,2333,761,38733,1832,4633,632,14975,1374,1968,618,3808,831,11023,1055,2326,558,12727,1156,2842,511,4956,705,132,89,60,67,4224,897,513,182
