listing_path,location,unit_number,building_class,beds,size,rent,sun_exposure_cat,sun_exposure,floor
l-2g3vm2ptsq8i,11225,2,rental unit,3.0,,3726,No sunlight data,No sunlight data available and the rent is 3726,2
l-2in0401r3l0j,11215,1B,rental unit,2.0,,4500,No sunlight data,No sunlight data available and the rent is 4500,1
l-dgbncnljpk2t,11217,B2,rental unit,3.0,900.0,4750,No sunlight data,No sunlight data available and the rent is 4750,2
l-k5pmp1c6dcau,11215,3,rental unit,1.0,,3750,Moderate sunlight,This apartment has moderate sunlight and the rent is 3750,3
l-ok0278ecbrpc,11217,312,rental unit,1.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,3
l-fs06pif5od54,11217,5,rental unit,1.0,800.0,4195,No sunlight data,No sunlight data available and the rent is 4195,5
l-p7v2n1sv4g9v,11217,412,rental unit,1.0,,4200,No sunlight data,No sunlight data available and the rent is 4200,4
l-scm32mraijrd,11217,514,rental unit,1.0,,4300,No sunlight data,No sunlight data available and the rent is 4300,5
l-arpo516kho0l,11215,1F,rental unit,1.0,,4690,No sunlight data,No sunlight data available and the rent is 4690,1
l-vdskrltnesr1,11217,807,rental unit,1.0,,4700,No sunlight data,No sunlight data available and the rent is 4700,8
l-7ikkab76499f,11226,4A,rental unit,2.0,,3200,No sunlight data,No sunlight data available and the rent is 3200,4
l-qf8e9atkn7ju,11217,601,rental unit,1.0,,4800,No sunlight data,No sunlight data available and the rent is 4800,6
l-6rf9fvvrh22j,11226,6C,rental unit,2.0,,3400,No sunlight data,No sunlight data available and the rent is 3400,6
l-df2mr40vra2j,11215,4R,rental unit,1.5,,2600,No sunlight data,No sunlight data available and the rent is 2600,4
l-gmmveso3btn3,11226,1208,rental unit,2.0,,3447,No sunlight data,No sunlight data available and the rent is 3447,1
l-3t4h7p4hsl3e,11210,803,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,8
l-4vkr066dfpsq,11217,1,rental unit,2.0,,2800,Moderate sunlight,This apartment has moderate sunlight and the rent is 2800,1
l-vrsioeafkn8t,11225,PH9G,rental unit,3.0,1100.0,5600,No sunlight data,No sunlight data available and the rent is 5600,9
l-emiret7hghv5,11226,806,rental unit,2.0,1077.0,4500,No sunlight data,No sunlight data available and the rent is 4500,8
l-jlm1f9thn9hb,11225,1,rental unit,4.0,2000.0,4795,Limited natural light,This apartment has limited sunlight and the rent is 4795,1
l-7u7ehvc5p21a,11215,2R,rental unit,2.0,,3250,No sunlight data,No sunlight data available and the rent is 3250,2
l-5uq6oh2vccco,11226,701,rental unit,0.0,,2350,No sunlight data,No sunlight data available and the rent is 2350,7
l-3t4h7p4hsl3e,11210,803,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,8
l-2k2qp70arkpo,11225,23N,rental unit,0.0,,2520,No sunlight data,No sunlight data available and the rent is 2520,2
l-5uq6oh2vccco,11226,701,rental unit,0.0,,2350,No sunlight data,No sunlight data available and the rent is 2350,7
l-mmegr1flhf1d,11225,2F,rental unit,1.0,,1895,Limited natural light,This apartment has limited sunlight and the rent is 1895,2
l-vr8jo0bclonq,11226,321,rental unit,1.0,,3290,No sunlight data,No sunlight data available and the rent is 3290,3
l-cms57t1abp2i,11226,706,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,7
l-7ikkab76499f,11226,4A,rental unit,2.0,,3200,No sunlight data,No sunlight data available and the rent is 3200,4
l-bs4c3a1sijvi,11226,3B,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,3
l-g8j4pjn9teps,11226,615,rental unit,1.0,,2866,No sunlight data,No sunlight data available and the rent is 2866,6
l-mikiml6op5js,11226,616,rental unit,0.0,,2670,No sunlight data,No sunlight data available and the rent is 2670,6
l-gmmveso3btn3,11226,1208,rental unit,2.0,,3447,No sunlight data,No sunlight data available and the rent is 3447,1
l-8mhog64guc68,11215,701,rental unit,2.0,990.0,7995,No sunlight data,No sunlight data available and the rent is 7995,7
l-155vl5l7p3mt,11215,3R,rental unit,2.5,900.0,4000,Limited natural light,This apartment has limited sunlight and the rent is 4000,3
l-4b0n1hfp83tg,11215,5,rental unit,3.0,,4500,Limited natural light,This apartment has limited sunlight and the rent is 4500,5
l-viid0kkr49q8,11215,3B,rental unit,3.0,,4500,No sunlight data,No sunlight data available and the rent is 4500,3
l-g3ill9kcev5i,11217,3,rental unit,3.0,1100.0,4750,No sunlight data,No sunlight data available and the rent is 4750,3
l-52b5rnl1erg8,11215,5F,rental unit,3.0,,4995,Limited natural light,This apartment has limited sunlight and the rent is 4995,5
l-h42ommj08naj,11215,2L,rental unit,3.0,1041.0,6400,No sunlight data,No sunlight data available and the rent is 6400,2
l-phubtn46t7vj,11215,2C,rental unit,4.0,,5995,Moderate sunlight,This apartment has moderate sunlight and the rent is 5995,2
l-mmegr1flhf1d,11225,2F,rental unit,1.0,,1895,Limited natural light,This apartment has limited sunlight and the rent is 1895,2
l-o0n5ql6ik4qv,11225,PH9A,rental unit,1.0,720.0,3300,No sunlight data,No sunlight data available and the rent is 3300,9
l-42o619vk51bj,11238,1F,rental unit,0.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,1
l-bs4c3a1sijvi,11226,3B,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,3
l-aq9h76lifdr0,11226,822,rental unit,3.0,,3976,No sunlight data,No sunlight data available and the rent is 3976,8
l-7nhso05777u4,11238,3516,rental unit,0.0,,3895,No sunlight data,No sunlight data available and the rent is 3895,3
l-cms57t1abp2i,11226,706,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,7
l-42o619vk51bj,11238,1F,rental unit,0.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,1
l-bs4c3a1sijvi,11226,3B,rental unit,1.0,,2800,No sunlight data,No sunlight data available and the rent is 2800,3
