index,listing_path,zipcode,unit_number,building_class,beds,size,rent,sun_exposure_cat,sun_exposure,floor,median age,per capita income,median household income,affordable_rent_single,affordable_rent_couple,is_affordable_individual,is_affordable_couple,rent_difference_single,annualized_rent,indiv_affordability_to_rent_ratio,indiv_sun_exposure_icon,rent_difference_couple,coup_affordability_to_rent_ratio,coup_sun_exposure_icon
199,l-k5pmp1c6dcau,11215,3,rental unit,1.0,,3750,Moderate sunlight,This apartment has moderate sunlight and the rent is 3750,3,37.0,87707,156930,2192.675,3923.25,False,True,1557.3249999999998,45000,0.5847133333333334,🌞,-173.25,1.0462,1.0🌞
213,l-4vkr066dfpsq,11217,1,rental unit,2.0,,2800,Moderate sunlight,This apartment has moderate sunlight and the rent is 2800,1,35.5,85813,133269,2145.325,3331.725,False,True,654.6750000000002,33600,0.7661874999999999,🌞,-531.7249999999999,1.1899017857142857,1.2🌞
216,l-jlm1f9thn9hb,11225,1,rental unit,4.0,2000.0,4795,Limited natural light,This apartment has limited sunlight and the rent is 4795,1,36.1,41497,68542,1037.425,1713.55,False,False,3757.575,57540,0.2163555787278415,🌗,3081.45,0.3573618352450469,🌗
227,l-mmegr1flhf1d,11225,2F,rental unit,1.0,,1895,Limited natural light,This apartment has limited sunlight and the rent is 1895,2,36.1,41497,68542,1037.425,1713.55,False,False,857.575,22740,0.5474538258575198,🌞,181.45000000000005,0.9042480211081794,🌞
241,l-155vl5l7p3mt,11215,3R,rental unit,2.5,900.0,4000,Limited natural light,This apartment has limited sunlight and the rent is 4000,3,37.0,87707,156930,2192.675,3923.25,False,False,1807.3249999999998,48000,0.5481687500000001,🌞,76.75,0.9808125,🌞
242,l-4b0n1hfp83tg,11215,5,rental unit,3.0,,4500,Limited natural light,This apartment has limited sunlight and the rent is 4500,5,37.0,87707,156930,2192.675,3923.25,False,False,2307.325,54000,0.48726111111111114,🌗,576.75,0.8718333333333333,🌞
245,l-52b5rnl1erg8,11215,5F,rental unit,3.0,,4995,Limited natural light,This apartment has limited sunlight and the rent is 4995,5,37.0,87707,156930,2192.675,3923.25,False,False,2802.325,59940,0.43897397397397403,🌗,1071.75,0.7854354354354355,🌞
250,l-phubtn46t7vj,11215,2C,rental unit,4.0,,5995,Moderate sunlight,This apartment has moderate sunlight and the rent is 5995,2,37.0,87707,156930,2192.675,3923.25,False,False,3802.325,71940,0.36575062552126775,🌗,2071.75,0.6544203502919099,🌞
252,l-mmegr1flhf1d,11225,2F,rental unit,1.0,,1895,Limited natural light,This apartment has limited sunlight and the rent is 1895,2,36.1,41497,68542,1037.425,1713.55,False,False,857.575,22740,0.5474538258575198,🌞,181.45000000000005,0.9042480211081794,🌞
273,l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1,35.3,67950,114427,1698.75,2860.675,False,False,3001.25,56400,0.361436170212766,🌗,1839.3249999999998,0.608654255319149,🌞
289,l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1,35.3,67950,114427,1698.75,2860.675,False,False,3001.25,56400,0.361436170212766,🌗,1839.3249999999998,0.608654255319149,🌞
306,l-ce404lar05gn,11238,1,rental unit,2.0,850.0,4700,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 4700,1,35.3,67950,114427,1698.75,2860.675,False,False,3001.25,56400,0.361436170212766,🌗,1839.3249999999998,0.608654255319149,🌞
318,l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1,37.0,87707,156930,2192.675,3923.25,False,True,757.3249999999998,35400,0.7432796610169492,🌞,-973.25,1.329915254237288,1.3🌞
320,l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1,37.0,87707,156930,2192.675,3923.25,False,True,757.3249999999998,35400,0.7432796610169492,🌞,-973.25,1.329915254237288,1.3🌞
334,l-cpa3tvjh3aer,11215,7H,rental unit,0.0,,3422,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 3422,7,37.0,87707,156930,2192.675,3923.25,False,True,1229.3249999999998,41064,0.6407583284628873,🌞,-501.25,1.146478667445938,1.1🌞
344,l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1,35.5,85813,133269,2145.325,3331.725,False,True,654.6750000000002,33600,0.7661874999999999,🌞,-531.7249999999999,1.1899017857142857,1.2🌞
355,l-o45jb8pndlm4,11215,1R,rental unit,0.0,,2950,Moderate sunlight,This apartment has moderate sunlight and the rent is 2950,1,37.0,87707,156930,2192.675,3923.25,False,True,757.3249999999998,35400,0.7432796610169492,🌞,-973.25,1.329915254237288,1.3🌞
358,l-155vl5l7p3mt,11215,3R,rental unit,2.5,900.0,4000,Limited natural light,This apartment has limited sunlight and the rent is 4000,3,37.0,87707,156930,2192.675,3923.25,False,False,1807.3249999999998,48000,0.5481687500000001,🌞,76.75,0.9808125,🌞
365,l-phubtn46t7vj,11215,2C,rental unit,4.0,,5995,Moderate sunlight,This apartment has moderate sunlight and the rent is 5995,2,37.0,87707,156930,2192.675,3923.25,False,False,3802.325,71940,0.36575062552126775,🌗,2071.75,0.6544203502919099,🌞
371,l-r51ae16miros,11215,3,rental unit,1.0,800.0,2600,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 2600,3,37.0,87707,156930,2192.675,3923.25,False,True,407.3249999999998,31200,0.8433365384615386,🌞,-1323.25,1.5089423076923076,1.5🌞
372,l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1,35.5,85813,133269,2145.325,3331.725,False,True,654.6750000000002,33600,0.7661874999999999,🌞,-531.7249999999999,1.1899017857142857,1.2🌞
390,l-r51ae16miros,11215,3,rental unit,1.0,800.0,2600,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 2600,3,37.0,87707,156930,2192.675,3923.25,False,True,407.3249999999998,31200,0.8433365384615386,🌞,-1323.25,1.5089423076923076,1.5🌞
391,l-1g19ida1hi7m,11217,1F,rental unit,1.0,925.0,2800,Limited natural light,This apartment has limited sunlight and the rent is 2800,1,35.5,85813,133269,2145.325,3331.725,False,True,654.6750000000002,33600,0.7661874999999999,🌞,-531.7249999999999,1.1899017857142857,1.2🌞
